Predictor variable,Categorical,Sample average
Var1,false,-2.7964024718264957
Var10,false,13.429315556450826
Var11,false,-19.01284721846257
Var12,false,521.0637547187429
Var13,false,79.37022956767645
Var14,false,20.383748849493777
Var15,false,50.571683203185415
Var16,false,212.71345391972469
Var17,false,69.4455226966532
Var18,false,199.61453706297436
Var19,false,86.61163578641269
Var2,false,10.179984899020125
Var3,false,22.785575608224217
Var4,false,1328.5775580709021
Var5,false,20.973818344582348
Var6,false,-25.127089576552393
Var7,false,46.100907927692944
Var8,false,12.038646636810235
Var9,false,-14.326912333221376
